scenario,region,variables,unit,2025,2030,2035,2040,2045,2050
SSP2-Base-image,STAN,Production|Sand|SAND_QUARRY,kt,16981.76932085949,17645.31807915349,17225.38407085117,16934.209553484972,16585.118344056526,15362.137627837626
SSP2-Base-image,STAN,Production|Sand|SAND_RIVER,kt,7019.688928389637,7293.977536604422,7120.3910243254495,7000.029329547626,6855.726833646157,6350.187980122187
SSP2-Base-image,STAN,Production|Sand|SAND_ZINC,kt,2.207147356963429,2.293389836201796,2.2388103504596937,2.2009659389453713,2.155594003567429,1.9966412699377172
SSP2-Base-image,TUR,Production|Gravel|GRAVEL_ADR,kt,488.1515110901963,3382.231313465439,7068.452675268309,11575.913396515412,16909.830931939,23038.96862297601
SSP2-Base-image,TUR,Production|Gravel|GRAVEL_CRUSHED,kt,58813.298984564106,55976.63096265634,52687.52228588571,49926.56508784205,45078.3767464315,38897.0520980993
SSP2-Base-image,TUR,Production|Gravel|GRAVEL_ROUND,kt,58813.298984564106,55976.63096265634,52687.52228588571,49926.56508784205,45078.3767464315,38897.0520980993
SSP2-Base-image,TUR,Production|Sand|SAND_HAS,kt,153.44176162932882,1063.1443705192669,2221.8426161674,3638.682875451913,5315.305162645321,7241.890788655325
SSP2-Base-image,TUR,Production|Sand|SAND_QUARRY,kt,33848.70450088716,33237.996325882326,32645.65217599456,32643.371020832394,31735.357068820136,30342.480519527402
SSP2-Base-image,TUR,Production|Sand|SAND_RIVER,kt,13991.909307903858,13739.46320917535,13494.608177158398,13493.665224787934,13118.322975972062,12542.554932787449
SSP2-Base-image,TUR,Production|Sand|SAND_ZINC,kt,4.399369539427238,4.319994834184825,4.243006930266497,4.24271044493026,4.124694438682429,3.9436600755214886
SSP2-Base-image,UKR,Production|Gravel|GRAVEL_ADR,kt,299.7622139918201,1883.103785050445,3621.380052010141,5531.691693861794,7643.635900704554,9972.458125951329
SSP2-Base-image,UKR,Production|Gravel|GRAVEL_CRUSHED,kt,22773.228847693917,19977.184085660676,20434.871091545192,20312.69595821346,18365.048161984087,15351.586894195629
SSP2-Base-image,UKR,Production|Gravel|GRAVEL_ROUND,kt,22773.228847693917,19977.184085660676,20434.871091545192,20312.69595821346,18365.048161984087,15351.586894195629
SSP2-Base-image,UKR,Production|Sand|SAND_HAS,kt,94.2249304567122,591.9202451380063,1138.316531006445,1738.789082923984,2402.641252175861,3134.665176398382
SSP2-Base-image,UKR,Production|Sand|SAND_QUARRY,kt,13145.419632082547,12098.897897415985,12969.796091717093,13568.906991035907,13193.333952958847,12283.413421560344
SSP2-Base-image,UKR,Production|Sand|SAND_RIVER,kt,5433.871754282862,5001.2750739632065,5361.2749242014615,5608.927101507859,5453.67791354764,5077.547549314828
SSP2-Base-image,UKR,Production|Sand|SAND_ZINC,kt,1.7085309339049306,1.5725128525712726,1.6857048652183166,1.7635722542385661,1.7147584338011235,1.596494626421757
SSP2-Base-image,USA,Production|Gravel|GRAVEL_ADR,kt,2285.9265435957414,15073.836406889825,30145.08709459434,47472.04574777878,66938.71627755355,88322.07799571432
SSP2-Base-image,USA,Production|Gravel|GRAVEL_CRUSHED,kt,165312.0197606626,154035.3710544763,140737.9639236383,127093.30007711431,110971.96453058839,93674.24957134071
SSP2-Base-image,USA,Production|Gravel|GRAVEL_ROUND,kt,165312.0197606626,154035.3710544763,140737.9639236383,127093.30007711431,110971.96453058839,93674.24957134071
SSP2-Base-image,USA,Production|Sand|SAND_HAS,kt,718.5404281986614,4738.192877084261,9475.572979245451,14921.994836028183,21040.997136103968,27762.477285297824
SSP2-Base-image,USA,Production|Sand|SAND_QUARRY,kt,95461.77051990484,93483.38435206412,91147.59071754239,89402.99375251417,86989.61892044214,84573.92980239612
SSP2-Base-image,USA,Production|Sand|SAND_RIVER,kt,39460.66637355148,38642.86846238731,37677.330395920086,36956.17303189514,35958.56552300378,34960.0013665852
SSP2-Base-image,USA,Production|Sand|SAND_ZINC,kt,12.40731695932573,12.150182987070027,11.846596202357672,11.619848181726004,11.306178046339886,10.992207119553633
